Отметка времени,"Возможность ознакомления с исходным кодом программы желательна (например, с целью понять, как работает программа ""изнутри"")",Возможность пользователя модифицировать исходный код используемой им программы желательна,"При внесении в основной код программы нежелательных изменений, сообщество должно иметь возможность создать форк (ответвление) программы и развивать проект без них","Я считаю, что разработчик не должен иметь возможность удаленно совершать изменения в программе на компьютере пользователя без его ведома",Меня беспокоит сбор данных об использовании программы без моего согласия,"Мне не хотелось бы, чтобы у программ, которые я использую, были функции, которые позволяли бы кому-то, кто не должен контролировать компьютер, посылать команды этому компьютеру.",Меня беспокоит программное обеспечение с запланированным устареванием,"Меня беспокоит цензура в программах (например, запрет в приложении для работников Amazon использовать в чате слова “Union,” “Restrooms,” “Pay Raise,”, “Plantation”) ",Я искал(а) легальные бесплатные альтернативы платным программам ,"Я искал(а) такие программы, которые обеспечивали бы конфиденциальность (не собирали бы данные без моего ведома)","Я искал(а) такие программы, которые можно было бы гибко модифицировать по своему усмотрению",Я искал(а) альтернативы с открытым исходным кодом для проприетарных программ,"Я готов(а) переходить куда-либо с проприетарных программ, с которыми я привыкл(а) работать","Я готов(а) потратить время на освоение свободных программ, чтобы отказаться от проприетарных аналогов","Я находил(а) какие-то альтернативы по перечисленным выше условиям, но не знаю, обладают ли они открытым исходным кодом","Я находил(а) альтернативы с открытым исходным кодом для проприетарного ПО, но они оказывались неудобными или слишком сложными в освоении ","Я находил(а) альтернативы с открытым исходным кодом для проприетарного ПО, но они не обладали достаточным для меня функционалом",Я находил(а) удовлетворительные для себя программы с открытым исходным кодом,Я предпочёл (предпочла) бы участвовать в разработке проекта:,Я готов(а) посылать автоматическую анонимную статистику и отчёты об ошибках интересным мне open-source-проектам,Я готов(а) помогать другим пользователям в освоении open-source-программ,"Я готов(а) информировать других или организовывать рекламные компании для open-source-проектов, в развитии которых я заинтересован(а)","Я готов(а) помогать интересным мне open-source-проектам дизайнерскими, организаторскими или консультационными услугами","Я готов(а) писать программный код для open-source-проектов, в развитии которых я заинтересован(а)"
2022/05/30 1:31:12 AM GMT+3,2,5,4,3,5,4,5,2,5,4,4,2,3,3,"Нет, знаю",Иногда,Затрудняюсь ответить,Иногда,Затрудняюсь ответить,Скорее да,Затрудняюсь ответить,"Без оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований",,Затрудняюсь ответить
2022/05/30 1:37:14 AM GMT+3,5,5,5,5,2,5,4,4,2,1,1,1,5,2,Я не искал(а) альтернативы проприетарному ПО,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,"Неважно, какой исходный код, важны другие показатели",Точно да,Анонимно и безвозмездно,Анонимно и безвозмездно,,Затрудняюсь ответить
2022/05/30 2:40:48 AM GMT+3,5,5,3,3,5,3,3,5,2,2,3,3,5,4,"Нет, знаю",Часто,Часто,Иногда,"Неважно, какой исходный код, важны другие показатели",Скорее да,Только за оплату,Затрудняюсь ответить,,Затрудняюсь ответить
2022/05/30 2:58:02 AM GMT+3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Нет, знаю",Иногда,Иногда,Часто,С открытым исходным кодом,Скорее да,Анонимно и безвозмездно,"Без оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований",,Только за оплату
2022/05/30 10:25:04 AM GMT+3,4,4,5,5,5,5,5,5,4,3,3,3,3,2,"Да, не знаю (в таком случае, дальше в этом блоке стоит ничего не отвечать)",,,,С открытым исходным кодом,Скорее да,Затрудняюсь ответить,Затрудняюсь ответить,,Не умею писать код / Затрудняюсь ответить
2022/05/30 10:51:10 AM GMT+3,5,5,5,4,5,5,5,5,5,4,1,1,3,3,Я не искал(а) альтернативы проприетарному ПО,,,,"Неважно, какой исходный код, важны другие показатели",Скорее да,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Не умею писать код / Затрудняюсь ответить
2022/05/30 11:25:03 AM GMT+3,2,2,4,5,3,5,5,3,5,4,2,1,2,4,"Да, не знаю (в таком случае, дальше в этом блоке стоит ничего не отвечать)",3,4,3,"Неважно, какой исходный код, важны другие показатели",Точно да,"Без  оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований",Анонимно и безвозмездно,Анонимно и безвозмездно,"Без оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований"
2022/05/30 1:16:11 PM GMT+3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Нет, знаю",2,2,5,С открытым исходным кодом,Скорее да,Анонимно и безвозмездно,Анонимно и безвозмездно,"Без  оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований","Без оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований"
2022/05/30 5:55:19 PM GMT+3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,"Да, не знаю (в таком случае, дальше в этом блоке стоит ничего не отвечать)",5,5,5,"Неважно, какой исходный код, важны другие показатели",Точно да,Анонимно и безвозмездно,Анонимно и безвозмездно,Анонимно и безвозмездно,Анонимно и безвозмездно
2022/05/30 5:55:42 PM GMT+3,5,5,5,5,5,5,5,5,2,2,4,1,2,2,"Да, не знаю (в таком случае, дальше в этом блоке стоит ничего не отвечать)",,,,"Неважно, какой исходный код, важны другие показатели",Скорее да,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,"Без оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований"
